"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2030-02-01,694934.742162,-182469.974777145,-182469.974777145,-182469.974777145,-182469.974777145,-182469.974777145,-182469.974777145,0,0,0,316661.285465809,676362.752417198,521831.356924123,845505.107955581,512464.767384855
2030-03-01,694839.155302866,94565.7767660935,94565.7767660935,94565.7767660935,94565.7767660935,94565.7767660935,94565.7767660935,0,0,0,599757.877051006,951644.571366341,520104.081386608,847389.804536949,789404.932068959
2030-04-01,694733.326994539,224223.63766146,224223.63766146,224223.63766146,224223.63766146,224223.63766146,224223.63766146,0,0,0,722728.636838049,1097751.42286077,516354.532979303,851192.851426856,918956.964655999
2030-05-01,694630.912502609,200344.079097798,200344.079097798,200344.079097798,200344.079097798,200344.079097798,200344.079097798,0,0,0,697573.823988074,1070245.1406977,513148.888477163,855254.314971655,894974.991600407
2030-06-01,694525.084194282,132576.491552813,132576.491552813,132576.491552813,132576.491552813,132576.491552813,132576.491552813,0,0,0,621655.424470577,1002910.06932051,509549.920679588,857506.679803104,827101.575747095
2030-07-01,694422.669702353,115166.179889889,115166.179889889,115166.179889889,115166.179889889,115166.179889889,115166.179889889,0,0,0,601482.025398851,992419.68124422,506149.217849348,859708.474714988,809588.849592242
2030-08-01,694316.841394026,17283.4608616582,17283.4608616582,17283.4608616582,17283.4608616582,17283.4608616582,17283.4608616582,0,0,0,510484.557997952,900462.861906055,502915.21492519,862583.404504686,711600.302255684
2030-09-01,694211.013085699,-19830.1887850203,-19830.1887850203,-19830.1887850203,-19830.1887850203,-19830.1887850203,-19830.1887850203,0,0,0,456408.233003835,855315.942877904,498165.568597525,865600.858362758,674380.824300678
2030-10-01,694108.598593769,-91212.5426155978,-91212.5426155978,-91212.5426155978,-91212.5426155978,-91212.5426155978,-91212.5426155978,0,0,0,394404.322383178,795396.141920252,493525.096885475,867868.467804837,602896.055978171
2030-11-01,694002.770285442,-172587.037120413,-172587.037120413,-172587.037120413,-172587.037120413,-172587.037120413,-172587.037120413,0,0,0,311802.098992737,711433.989700754,489123.682755203,870786.972992877,521415.73316503
2030-12-01,693900.355793513,-241327.726910791,-241327.726910791,-241327.726910791,-241327.726910791,-241327.726910791,-241327.726910791,0,0,0,230238.914997819,634096.444581098,484938.599591656,872239.654128216,452572.628882722
2031-01-01,693794.527485186,-221197.629670914,-221197.629670914,-221197.629670914,-221197.629670914,-221197.629670914,-221197.629670914,0,0,0,246364.416120852,667012.169679051,482601.500000239,875366.319346956,472596.897814271
2031-02-01,693688.699176859,-164537.856439919,-164537.856439919,-164537.856439919,-164537.856439919,-164537.856439919,-164537.856439919,0,0,0,310758.298523557,733160.850936826,478230.990357295,878432.019947644,529150.84273694
2031-03-01,693593.112317724,93698.4407354218,93698.4407354218,93698.4407354218,93698.4407354218,93698.4407354218,93698.4407354218,0,0,0,541035.178939021,988551.239132034,475026.493143331,879728.574782339,787291.553053146
2031-04-01,693487.284009397,220215.623326813,220215.623326813,220215.623326813,220215.623326813,220215.623326813,220215.623326813,0,0,0,690065.490004082,1112452.35278611,473062.134737213,884138.510520868,913702.90733621
2031-05-01,693384.869517468,184659.593524531,184659.593524531,184659.593524531,184659.593524531,184659.593524531,184659.593524531,0,0,0,639771.609586894,1081593.20951251,469945.717551384,889008.212997621,878044.463041999
2031-06-01,693279.041209141,132888.450521464,132888.450521464,132888.450521464,132888.450521464,132888.450521464,132888.450521464,0,0,0,589550.944131477,1032277.54001002,465664.43163939,891918.299655627,826167.491730604
2031-07-01,693176.626717211,118515.714615846,118515.714615846,118515.714615846,118515.714615846,118515.714615846,118515.714615846,0,0,0,567161.142774335,1028988.39876765,461384.272091657,894928.300752091,811692.341333057
2031-08-01,693070.798408884,22606.1556964217,22606.1556964217,22606.1556964217,22606.1556964217,22606.1556964217,22606.1556964217,0,0,0,476640.395900274,932274.531824481,457465.180664851,898245.980211243,715676.954105306
2031-09-01,692964.970100557,-9383.99861481073,-9383.99861481073,-9383.99861481073,-9383.99861481073,-9383.99861481073,-9383.99861481073,0,0,0,436803.778107629,915391.705748705,454424.571051908,901077.834242942,683580.971485746
2031-10-01,692862.555608628,-82762.3312220065,-82762.3312220065,-82762.3312220065,-82762.3312220065,-82762.3312220065,-82762.3312220065,0,0,0,367770.219622064,837378.049903925,452699.000307259,903869.812317987,610100.224386621
2031-11-01,692756.727300301,-188762.341744083,-188762.341744083,-188762.341744083,-188762.341744083,-188762.341744083,-188762.341744083,0,0,0,252573.555024382,735418.705013081,450941.142734284,907751.373671395,503994.385556218
2031-12-01,692654.312808371,-258842.14165153,-258842.14165153,-258842.14165153,-258842.14165153,-258842.14165153,-258842.14165153,0,0,0,170392.855495778,659353.88386414,449348.527982458,910230.90144337,433812.171156842
2032-01-01,692548.484500044,-215290.297752761,-215290.297752761,-215290.297752761,-215290.297752761,-215290.297752761,-215290.297752761,0,0,0,224062.219999928,706327.034179015,447702.826072238,912677.892797595,477258.186747283
2032-02-01,692442.656191717,-146474.094942949,-146474.094942949,-146474.094942949,-146474.094942949,-146474.094942949,-146474.094942949,0,0,0,290547.355074266,787446.503344608,446187.299676427,913195.778295548,545968.561248768
2032-03-01,692343.655516185,94964.5796691297,94964.5796691297,94964.5796691297,94964.5796691297,94964.5796691297,94964.5796691297,0,0,0,524074.52577049,1033794.85877448,444002.643803112,916266.115933656,787308.235185315
2032-04-01,692237.827207858,231070.710775077,231070.710775077,231070.710775077,231070.710775077,231070.710775077,231070.710775077,0,0,0,657485.488372106,1162499.05763336,438173.327891694,921819.453988581,923308.537982935
2032-05-01,692135.412715929,231839.573822579,231839.573822579,231839.573822579,231839.573822579,231839.573822579,231839.573822579,0,0,0,654851.04065226,1165706.68659801,431021.778107088,922372.024107912,923974.986538507
2032-06-01,692029.584407601,132982.400639498,132982.400639498,132982.400639498,132982.400639498,132982.400639498,132982.400639498,0,0,0,542671.641750414,1073080.43171599,422429.968577033,924898.533425445,825011.9850471
2032-07-01,691927.169915672,109108.984182754,109108.984182754,109108.984182754,109108.984182754,109108.984182754,109108.984182754,0,0,0,524968.629102831,1051321.17135158,418274.758131417,928003.623893268,801036.154098426
2032-08-01,691821.341607345,7129.61743148502,7129.61743148502,7129.61743148502,7129.61743148502,7129.61743148502,7129.61743148502,0,0,0,403268.762876733,949805.617803651,414482.049386781,932542.218396852,698950.95903883
2032-09-01,691715.513299018,-40899.7868198097,-40899.7868198097,-40899.7868198097,-40899.7868198097,-40899.7868198097,-40899.7868198097,0,0,0,367346.096058033,908494.217324767,408192.403974194,935767.421012865,650815.726479208
2032-10-01,691613.098807088,-109643.208390675,-109643.208390675,-109643.208390675,-109643.208390675,-109643.208390675,-109643.208390675,0,0,0,299686.354759974,846186.406854958,405415.549863062,938459.676302807,581969.890416413
2032-11-01,691507.270498761,-141467.444747419,-141467.444747419,-141467.444747419,-141467.444747419,-141467.444747419,-141467.444747419,0,0,0,268778.254185221,808590.923030375,400461.255665908,943541.514160762,550039.825751342
2032-12-01,691404.856006832,-205057.563123543,-205057.563123543,-205057.563123543,-205057.563123543,-205057.563123543,-205057.563123543,0,0,0,193982.442148455,750615.434949832,398347.752222073,947317.459863725,486347.292883289
2033-01-01,691299.027698505,-231031.194560239,-231031.194560239,-231031.194560239,-231031.194560239,-231031.194560239,-231031.194560239,0,0,0,160398.195050015,734995.899893399,393936.78877908,950304.388469799,460267.833138265
2033-02-01,691193.199390178,-200244.092788435,-200244.092788435,-200244.092788435,-200244.092788435,-200244.092788435,-200244.092788435,0,0,0,183528.7983427,767827.732481329,390272.031441468,952540.194909636,490949.106601743
2033-03-01,691097.612531043,94985.9325588471,94985.9325588471,94985.9325588471,94985.9325588471,94985.9325588471,94985.9325588471,0,0,0,472898.617344972,1056529.782117,387489.639984382,955198.684742357,786083.545089891
2033-04-01,690991.784222716,227844.571496053,227844.571496053,227844.571496053,227844.571496053,227844.571496053,227844.571496053,0,0,0,611272.746937,1205214.9731756,384272.305276724,957378.236825873,918836.35571877
2033-05-01,690889.369730787,216077.895488739,216077.895488739,216077.895488739,216077.895488739,216077.895488739,216077.895488739,0,0,0,595036.58409852,1188378.39574409,381290.119260996,959983.433042645,906967.265219526
2033-06-01,690783.54142246,132609.634964735,132609.634964735,132609.634964735,132609.634964735,132609.634964735,132609.634964735,0,0,0,508369.539165032,1113604.17822633,378739.550481323,964671.112920931,823393.176387195
2033-07-01,690681.12693053,112028.950834053,112028.950834053,112028.950834053,112028.950834053,112028.950834053,112028.950834053,0,0,0,460517.356198895,1096921.81387598,374846.807431599,970919.257095736,802710.077764583
2033-08-01,690575.298622203,12121.1643288541,12121.1643288541,12121.1643288541,12121.1643288541,12121.1643288541,12121.1643288541,0,0,0,376828.279315796,991966.071604248,370919.831755678,973537.37203875,702696.462951057
2033-09-01,690469.470313876,-30340.971227405,-30340.971227405,-30340.971227405,-30340.971227405,-30340.971227405,-30340.971227405,0,0,0,324746.562423319,950267.724269943,366314.804803994,977035.777904104,660128.499086471
2033-10-01,690367.055821947,-100175.201143285,-100175.201143285,-100175.201143285,-100175.201143285,-100175.201143285,-100175.201143285,0,0,0,244020.553486574,887873.268899493,362172.886917625,978575.360197294,590191.854678662
2033-11-01,690261.22751362,-156814.49349733,-156814.49349733,-156814.49349733,-156814.49349733,-156814.49349733,-156814.49349733,0,0,0,189011.448079918,829607.806732899,360937.361045236,980899.069468439,533446.734016289
2033-12-01,690158.81302169,-223391.280724358,-223391.280724358,-223391.280724358,-223391.280724358,-223391.280724358,-223391.280724358,0,0,0,131088.088561213,772812.956545711,357616.540188606,984386.400610696,466767.532297332
2034-01-01,690052.984713363,-226446.749074298,-226446.749074298,-226446.749074298,-226446.749074298,-226446.749074298,-226446.749074298,0,0,0,124724.523401429,775030.050344156,353843.926250909,987223.382446083,463606.235639065
2034-02-01,689947.156405036,-182469.974777098,-182469.974777098,-182469.974777098,-182469.974777098,-182469.974777098,-182469.974777098,0,0,0,158797.820222056,824830.715863677,350087.703377526,990227.301467946,507477.181627938
2034-03-01,689851.569545902,94565.7767660923,94565.7767660923,94565.7767660923,94565.7767660923,94565.7767660923,94565.7767660923,0,0,0,428026.861632592,1105803.48323378,346838.219028523,993473.497318914,784417.346311994
2034-04-01,689745.741237575,224223.63766142,224223.63766142,224223.63766142,224223.63766142,224223.63766142,224223.63766142,0,0,0,562120.000952904,1236082.09246812,343274.999324007,997921.43637322,913969.378898995
2034-05-01,689643.326745645,200344.079097716,200344.079097716,200344.079097716,200344.079097716,200344.079097716,200344.079097716,0,0,0,530471.744069056,1215962.69748568,339961.645224361,1002159.80284287,889987.405843362
2034-06-01,689537.498437318,132576.49155283,132576.49155283,132576.49155283,132576.49155283,132576.49155283,132576.49155283,0,0,0,434410.38672663,1143357.71119265,335448.108439424,1006571.95561508,822113.989990148
2034-07-01,689435.083945389,115166.17988986,115166.17988986,115166.17988986,115166.17988986,115166.17988986,115166.17988986,0,0,0,443654.979146408,1127792.1599355,331724.926753622,1009387.51962952,804601.263835249
2034-08-01,689329.255637062,17283.4608617735,17283.4608617735,17283.4608617735,17283.4608617735,17283.4608617735,17283.4608617735,0,0,0,324116.817932412,1043325.79653021,324361.12684478,1011715.5628598,706612.716498835
2034-09-01,689223.427328735,-19830.1887849276,-19830.1887849276,-19830.1887849276,-19830.1887849276,-19830.1887849276,-19830.1887849276,0,0,0,290472.044753904,982301.410856065,319460.231215876,1014623.77589998,669393.238543807
2034-10-01,689121.012836805,-91212.5426155352,-91212.5426155352,-91212.5426155352,-91212.5426155352,-91212.5426155352,-91212.5426155352,0,0,0,215216.7732021,940857.054100922,315903.667651085,1018464.69689411,597908.47022127
2034-11-01,689015.184528478,-172587.037120422,-172587.037120422,-172587.037120422,-172587.037120422,-172587.037120422,-172587.037120422,0,0,0,137497.365028233,865639.691367543,312389.542253058,1021809.68685457,516428.147408056
2034-12-01,688912.770036549,-241327.726910839,-241327.726910839,-241327.726910839,-241327.726910839,-241327.726910839,-241327.726910839,0,0,0,48841.5730570172,792504.113572151,310031.36871424,1024765.20942685,447585.04312571
2035-01-01,688806.941728222,-221197.629670948,-221197.629670948,-221197.629670948,-221197.629670948,-221197.629670948,-221197.629670948,0,0,0,78936.5704736819,815474.173088347,307667.385721943,1028035.22310365,467609.312057273
2035-02-01,688701.113419895,-164537.856439834,-164537.856439834,-164537.856439834,-164537.856439834,-164537.856439834,-164537.856439834,0,0,0,127380.684664914,864750.104359265,305313.463301669,1033112.33370342,524163.25698006
2035-03-01,688605.52656076,93698.4407353711,93698.4407353711,93698.4407353711,93698.4407353711,93698.4407353711,93698.4407353711,0,0,0,378527.531415419,1137431.74501423,302297.16017785,1036493.13673505,782303.967296131
2035-04-01,688499.698252433,220215.623326841,220215.623326841,220215.623326841,220215.623326841,220215.623326841,220215.623326841,0,0,0,499474.724099056,1271818.72494216,295904.464259282,1039585.24644461,908715.321579274
2035-05-01,688397.283760504,184659.593524675,184659.593524675,184659.593524675,184659.593524675,184659.593524675,184659.593524675,0,0,0,473360.178536836,1242754.12473572,292477.007504753,1042254.97085641,873056.877285179
2035-06-01,688291.455452177,132888.450521476,132888.450521476,132888.450521476,132888.450521476,132888.450521476,132888.450521476,0,0,0,417699.769038979,1183507.78388691,289681.82358682,1045013.68608194,821179.905973652
2035-07-01,688189.040960247,118515.714615812,118515.714615812,118515.714615812,118515.714615812,118515.714615812,118515.714615812,0,0,0,388082.795730894,1165416.4671168,283817.132812396,1049304.24077661,806704.755576059
2035-08-01,688083.21265192,22606.1556965381,22606.1556965381,22606.1556965381,22606.1556965381,22606.1556965381,22606.1556965381,0,0,0,302703.550497872,1081416.17896189,275866.841547601,1055417.28729562,710689.368348458
2035-09-01,687977.384343593,-9383.99861489086,-9383.99861489086,-9383.99861489086,-9383.99861489086,-9383.99861489086,-9383.99861489086,0,0,0,260680.107097523,1059045.74097215,271933.08826014,1058837.00904129,678593.385728702
2035-10-01,687874.969851664,-82762.3312221622,-82762.3312221622,-82762.3312221622,-82762.3312221622,-82762.3312221622,-82762.3312221622,0,0,0,145888.120760432,990360.206675434,269577.42836532,1061266.1567636,605112.638629501
2035-11-01,687769.141543337,-188762.341744044,-188762.341744044,-188762.341744044,-188762.341744044,-188762.341744044,-188762.341744044,0,0,0,69103.0065923995,888078.427611369,263684.038362913,1065138.32219368,499006.799799292
2035-12-01,687666.727051407,-258842.141651474,-258842.141651474,-258842.141651474,-258842.141651474,-258842.141651474,-258842.141651474,0,0,0,-5579.74581131884,820635.468973313,258397.219907736,1071021.90223025,428824.585399933
2036-01-01,687560.89874308,-215290.2977527,-215290.2977527,-215290.2977527,-215290.2977527,-215290.2977527,-215290.2977527,0,0,0,30637.3536239807,856511.166315765,256597.42338754,1076694.84275845,472270.600990379
2036-02-01,687455.070434753,-146474.094942767,-146474.094942767,-146474.094942767,-146474.094942767,-146474.094942767,-146474.094942767,0,0,0,91945.3090939681,940931.28317449,251697.784258441,1079164.16578341,540980.975491986
2036-03-01,687356.069759221,94964.5796691582,94964.5796691582,94964.5796691582,94964.5796691582,94964.5796691582,94964.5796691582,0,0,0,337942.652605201,1180655.12097053,247357.541921671,1081559.81523659,782320.649428379
2036-04-01,687250.241450894,231070.710775043,231070.710775043,231070.710775043,231070.710775043,231070.710775043,231070.710775043,0,0,0,465515.657777193,1322784.39305369,243165.805669899,1084120.68189342,918320.952225937
2036-05-01,687147.826958965,231839.573822721,231839.573822721,231839.573822721,231839.573822721,231839.573822721,231839.573822721,0,0,0,474938.933487607,1325863.31106639,240437.955813555,1086598.93994843,918987.400781686
2036-06-01,687041.998650638,132982.400639423,132982.400639423,132982.400639423,132982.400639423,132982.400639423,132982.400639423,0,0,0,363980.170072156,1225366.13686284,234127.692475894,1089499.62826176,820024.399290061
2036-07-01,686939.584158708,109108.984182724,109108.984182724,109108.984182724,109108.984182724,109108.984182724,109108.984182724,0,0,0,325370.764359056,1206807.53408944,233077.143419174,1096389.54633562,796048.568341432
2036-08-01,686833.755850381,7129.61743154875,7129.61743154875,7129.61743154875,7129.61743154875,7129.61743154875,7129.61743154875,0,0,0,225531.546926302,1111437.45365775,226570.412111459,1103519.07466321,693963.37328193
