Date Time,Lake Mead Differnece (Thousand acre-feet),ARIZONA (acre-feet),CALIFORNIA (acre-feet),NEVADA (acre-feet),MEXICO (acre-feet),Sum,mead_Evap_tavg (kg m-2 s-1),mead_Tair_f_inst (K),mead_Rainf_tavg (kg m-2 s-1),upperCRB_Tair_f_inst (K),upperCRB_Snowf_tavg (kg m-2 s-1),upperCRB_Rainf_tavg (kg m-2 s-1),upperCRB_SoilMoi40_100cm_inst,upperCRB_SWE_inst (kg m-2),PDSI (Index)
2015-03-01,-0350.0000000000,254943.0000000000,390407.0000000000,14493.0000000000,218681.0000000000,878524.0000000000,0000.0000083069,0291.3288683333,0000.0000051829,0277.2808876151,0000.0000017347,0000.0000054809,0088.0167244100,0001.5286397483,-0002.9200000000
2015-04-01,-0488.0000000000,302774.0000000000,478782.0000000000,20898.0000000000,210061.0000000000,1012515.0000000000,0000.0000057006,0292.9552016667,0000.0000043367,0279.6430090167,0000.0000027928,0000.0000085301,0088.6040497929,0000.5268698579,-0002.9500000000
2015-05-01,-0202.0000000000,289252.0000000000,434775.0000000000,25157.0000000000,112649.0000000000,861833.0000000000,0000.0000094602,0296.4792400000,0000.0000077895,0283.0398181590,0000.0000022153,0000.0000286620,0094.0981333201,0000.4554342669,0001.2800000000
2015-06-01,-0122.0000000000,190408.0000000000,458893.0000000000,25656.0000000000,108640.0000000000,783597.0000000000,0000.0000037477,0305.8447083333,0000.0000039999,0292.3218628870,0000.0000000201,0000.0000115614,0095.0611654644,0000.0049910216,0001.0100000000
2015-07-01,0251.0000000000,185820.0000000000,457516.0000000000,28970.0000000000,107355.0000000000,779661.0000000000,0000.0000093763,0305.3033683333,0000.0000071263,0292.5052754184,0000.0000000014,0000.0000147320,0083.7726090314,0000.0001523485,0001.3700000000
2015-08-01,0013.0000000000,176919.0000000000,460369.0000000000,27453.0000000000,92757.0000000000,757498.0000000000,0000.0000089578,0306.6584783333,0000.0000072999,0292.9819597280,0000.0000000002,0000.0000125917,0076.2753147992,0000.0001572412,0000.8400000000
2015-09-01,-0017.0000000000,257989.0000000000,398263.0000000000,24943.0000000000,89909.0000000000,771104.0000000000,0000.0000017568,0303.5661933333,0000.0000006635,0289.9323646862,0000.0000000231,0000.0000081469,0072.6722631736,0000.0025304219,0000.1700000000
2015-10-01,0073.0000000000,201470.0000000000,398916.0000000000,20027.0000000000,59037.0000000000,679450.0000000000,0000.0000068351,0296.7004083333,0000.0000134731,0283.7864068201,0000.0000005640,0000.0000148363,0072.2616789895,0000.1640122651,0000.8400000000
2015-11-01,-0062.0000000000,181140.0000000000,335176.0000000000,12127.0000000000,92944.0000000000,621387.0000000000,0000.0000061457,0284.7146400000,0000.0000045743,0272.4389077406,0000.0000065320,0000.0000047375,0075.8451036841,0003.8119171793,0000.9200000000
2015-12-01,0222.0000000000,174384.0000000000,285746.0000000000,8862.0000000000,104691.0000000000,573683.0000000000,0000.0000044652,0280.1616083333,0000.0000082138,0266.6940182636,0000.0000043156,0000.0000036593,0076.5553308013,0007.8698978481,0000.9200000000
