"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2008-10-01,760702.778366923,-109643.208390688,-109643.208390688,-109643.208390688,-109643.208390688,-109643.208390688,-109643.208390688,0,0,0,576716.479070229,732705.35756354,760702.778366923,760702.778366923,651059.569976236
2008-11-01,760108.508400819,-141467.444747405,-141467.444747405,-141467.444747405,-141467.444747405,-141467.444747405,-141467.444747405,0,0,0,540881.239210498,694097.621756889,760108.508400819,760108.508400819,618641.063653415
2008-12-01,759533.408661527,-205057.563123514,-205057.563123514,-205057.563123514,-205057.563123514,-205057.563123514,-205057.563123514,0,0,0,485495.332943674,625366.9554856,759533.408661527,759533.408661527,554475.845538013
2009-01-01,758939.138930925,-231031.194560193,-231031.194560193,-231031.194560193,-231031.194560193,-231031.194560193,-231031.194560193,0,0,0,447869.426324043,603139.708251605,758939.138930925,758939.138930925,527907.944370732
2009-02-01,758344.869200323,-200244.092788409,-200244.092788409,-200244.092788409,-200244.092788409,-200244.092788409,-200244.092788409,0,0,0,484620.777977579,632944.426017129,758344.869200323,758344.869200323,558100.776411914
2009-03-01,757808.10944365,94985.9325588552,94985.9325588552,94985.9325588552,94985.9325588552,94985.9325588552,94985.9325588552,0,0,0,779704.138827095,917451.205235966,757808.10944365,757808.10944365,852794.042002505
2009-04-01,757213.839713048,227844.571496003,227844.571496003,227844.571496003,227844.571496003,227844.571496003,227844.571496003,0,0,0,910106.99804532,1058323.04991935,757213.839713048,757213.839713048,985058.411209051
2009-05-01,756638.739973756,216077.89548879,216077.89548879,216077.89548879,216077.89548879,216077.89548879,216077.89548879,0,0,0,897854.473543316,1045270.82594653,756638.739973756,756638.739973756,972716.635462546
2009-06-01,756044.470243154,132609.6349648,132609.6349648,132609.6349648,132609.6349648,132609.6349648,132609.6349648,0,0,0,817759.51063829,965923.355959389,756044.470243154,756044.470243154,888654.105207954
2009-07-01,755469.370503862,112028.950833968,112028.950833968,112028.950833968,112028.950833968,112028.950833968,112028.950833968,0,0,0,790466.10304248,941273.544977402,755469.370503862,755469.370503862,867498.32133783
2009-08-01,754875.10077326,12121.1643289398,12121.1643289398,12121.1643289398,12121.1643289398,12121.1643289398,12121.1643289398,0,0,0,692133.352930006,836522.846571478,754875.10077326,754875.10077326,766996.265102199
2009-09-01,755264.486528669,-30340.9712274405,-30340.9712274405,-30340.9712274405,-30340.9712274405,-30340.9712274405,-30340.9712274405,0,0,0,646248.133946252,796986.925881107,755264.486528669,755264.486528669,724923.515301228
2009-10-01,755641.311453259,-100175.201143262,-100175.201143262,-100175.201143262,-100175.201143262,-100175.201143262,-100175.201143262,0,0,0,576574.303788279,725358.452639541,755641.311453259,755641.311453259,655466.110309996
2009-11-01,756030.697208668,-156814.493497309,-156814.493497309,-156814.493497309,-156814.493497309,-156814.493497309,-156814.493497309,0,0,0,531032.249941461,673118.717279009,756030.697208668,756030.697208668,599216.203711359
2009-12-01,756407.522133257,-223391.28072422,-223391.28072422,-223391.28072422,-223391.28072422,-223391.28072422,-223391.28072422,0,0,0,458645.171810623,606522.412059776,756407.522133257,756407.522133257,533016.241409037
2010-01-01,756796.907888667,-226446.749074305,-226446.749074305,-226446.749074305,-226446.749074305,-226446.749074305,-226446.749074305,0,0,0,459796.153300546,603914.113662696,756796.907888667,756796.907888667,530350.158814362
2010-02-01,757186.293644076,-182469.974777158,-182469.974777158,-182469.974777158,-182469.974777158,-182469.974777158,-182469.974777158,0,0,0,499752.78555402,655862.333998018,757186.293644076,757186.293644076,574716.318866918
2010-03-01,757537.996907026,94565.7767661027,94565.7767661027,94565.7767661027,94565.7767661027,94565.7767661027,94565.7767661027,0,0,0,778890.201041713,933016.376984156,757537.996907026,757537.996907026,852103.773673129
2010-04-01,757927.382662436,224223.637661512,224223.637661512,224223.637661512,224223.637661512,224223.637661512,224223.637661512,0,0,0,908578.98728933,1053019.94126304,757927.382662436,757927.382662436,982151.020323947
2010-05-01,758304.207587025,200344.079097747,200344.079097747,200344.079097747,200344.079097747,200344.079097747,200344.079097747,0,0,0,881777.880230732,1036066.47298826,758304.207587025,758304.207587025,958648.286684773
2010-06-01,758693.592388026,132576.491552746,132576.491552746,132576.491552746,132576.491552746,132576.491552746,132576.491552746,0,0,0,816862.23393054,964685.458189013,758693.592388026,758693.592388026,891270.083940772
2010-07-01,759070.416388994,115166.179889879,115166.179889879,115166.179889879,115166.179889879,115166.179889879,115166.179889879,0,0,0,800191.491486213,949992.094307147,759070.416388994,759070.416388994,874236.596278873
2010-08-01,759459.801189995,17283.4608616844,17283.4608616844,17283.4608616844,17283.4608616844,17283.4608616844,17283.4608616844,0,0,0,701042.309383582,851848.161573958,759459.801189995,759459.801189995,776743.262051679
2010-09-01,759849.185990995,-19830.1887849551,-19830.1887849551,-19830.1887849551,-19830.1887849551,-19830.1887849551,-19830.1887849551,0,0,0,667352.092720272,818590.910983077,759849.185990995,759849.185990995,740018.99720604
2010-10-01,760226.009991964,-91212.5426154986,-91212.5426154986,-91212.5426154986,-91212.5426154986,-91212.5426154986,-91212.5426154986,0,0,0,593959.958480951,741507.167158791,760226.009991964,760226.009991964,669013.467376465
2010-11-01,760615.394792964,-172587.037120447,-172587.037120447,-172587.037120447,-172587.037120447,-172587.037120447,-172587.037120447,0,0,0,511505.364222262,658753.781799184,760615.394792964,760615.394792964,588028.357672517
2010-12-01,760992.218793932,-241327.726910826,-241327.726910826,-241327.726910826,-241327.726910826,-241327.726910826,-241327.726910826,0,0,0,453818.291070805,593165.206462871,760992.218793932,760992.218793932,519664.491883106
